0.2,0.549834
0.5,0.622459
0.8,0.689974
1.1,0.750260
1.4,0.802184
1.7,0.845535
2.0,0.880797
2.3,0.908877
2.6,0.930862
2.9,0.947846
3.2,0.960834
3.5,0.970688
3.8,0.978119
4.1,0.983698
4.4,0.987872
4.7,0.990987
5.0,0.993307
5.3,0.995033
5.6,0.996316
5.9,0.997268
6.2,0.997975
6.5,0.998499
6.8,0.998887
7.1,0.999176
7.4,0.999389
7.7,0.999547
8.0,0.999665
8.3,0.999752
8.6,0.999816
8.9,0.999864
9.2,0.999899
9.5,0.999925
9.8,0.999945
10.1,0.999959
10.4,0.999970
10.7,0.999977
11.0,0.999983
11.3,0.999988
11.6,0.999991
11.9,0.999993
12.2,0.999995
12.5,0.999996
12.8,0.999997
13.1,0.999998
13.4,0.999998
13.7,0.999999
14.0,0.999999
14.3,0.999999
14.6,1.000000
14.9,1.000000
15.2,1.000000
15.5,1.000000
15.8,1.000000
16.1,1.000000
16.4,1.000000
16.7,1.000000
17.0,1.000000
17.3,1.000000
17.6,1.000000
17.9,1.000000
18.2,1.000000
18.5,1.000000
18.8,1.000000
19.1,1.000000
19.4,1.000000
19.7,1.000000
20.0,1.000000
20.3,1.000000
20.6,1.000000
20.9,1.000000
21.2,1.000000
21.5,1.000000
21.8,1.000000
22.1,1.000000
22.4,1.000000
22.7,1.000000
23.0,1.000000
23.3,1.000000
23.6,1.000000
23.9,1.000000
24.2,1.000000
24.5,1.000000
24.8,1.000000
25.1,1.000000
25.4,1.000000
25.7,1.000000
26.0,1.000000
26.3,1.000000
26.6,1.000000
26.9,1.000000
27.2,1.000000
27.5,1.000000
27.8,1.000000
28.1,1.000000
28.4,1.000000
28.7,1.000000
29.0,1.000000
29.3,1.000000
29.6,1.000000
29.9,1.000000
30.2,1.000000
30.5,1.000000
30.8,1.000000
31.1,1.000000
31.4,1.000000
31.7,1.000000
32.0,1.000000
32.3,1.000000
32.6,1.000000
32.9,1.000000
33.2,1.000000
33.5,1.000000
33.8,1.000000
34.1,1.000000
34.4,1.000000
34.7,1.000000
35.0,1.000000
35.3,1.000000
35.6,1.000000
35.9,1.000000
36.2,1.000000
36.5,1.000000
36.8,1.000000
37.1,1.000000
37.4,1.000000
37.7,1.000000
38.0,1.000000
38.3,1.000000
38.6,1.000000
38.9,1.000000
39.2,1.000000
39.5,1.000000
39.8,1.000000
40.1,1.000000
40.4,1.000000
40.7,1.000000
41.0,1.000000
41.3,1.000000
41.6,1.000000
41.9,1.000000
42.2,1.000000
42.5,1.000000
42.8,1.000000
43.1,1.000000
43.4,1.000000
43.7,1.000000
44.0,1.000000
44.3,1.000000
44.6,1.000000
44.9,1.000000
45.2,1.000000
45.5,1.000000
45.8,1.000000
46.1,1.000000
46.4,1.000000
46.7,1.000000
47.0,1.000000
47.3,1.000000
47.6,1.000000
47.9,1.000000
48.2,1.000000
48.5,1.000000
48.8,1.000000
49.1,1.000000
49.4,1.000000
49.7,1.000000
50.0,1.000000
50.3,1.000000
50.6,1.000000
50.9,1.000000
51.2,1.000000
51.5,1.000000
51.8,1.000000
52.1,1.000000
52.4,1.000000
52.7,1.000000
53.0,1.000000
53.3,1.000000
53.6,1.000000
53.9,1.000000
54.2,1.000000
54.5,1.000000
54.8,1.000000
55.1,1.000000
55.4,1.000000
55.7,1.000000
56.0,1.000000
56.3,1.000000
56.6,1.000000
56.9,1.000000
57.2,1.000000
57.5,1.000000
57.8,1.000000
58.1,1.000000
58.4,1.000000
58.7,1.000000
59.0,1.000000
59.3,1.000000
59.6,1.000000
59.9,1.000000
60.2,1.000000
60.5,1.000000
60.8,1.000000
61.1,1.000000
61.4,1.000000
61.7,1.000000
62.0,1.000000
62.3,1.000000
62.6,1.000000
62.9,1.000000
63.2,1.000000
63.5,1.000000
63.8,1.000000
64.1,1.000000
64.4,1.000000
64.7,1.000000
65.0,1.000000
65.3,1.000000
65.6,1.000000
65.9,1.000000
66.2,1.000000
66.5,1.000000
66.8,1.000000
67.1,1.000000
67.4,1.000000
67.7,1.000000
68.0,1.000000
68.3,1.000000
68.6,1.000000
68.9,1.000000
69.2,1.000000
69.5,1.000000
69.8,1.000000
70.1,1.000000
70.4,1.000000
70.7,1.000000
71.0,1.000000
71.3,1.000000
71.6,1.000000
71.9,1.000000
72.2,1.000000
72.5,1.000000
72.8,1.000000
73.1,1.000000
73.4,1.000000
73.7,1.000000
74.0,1.000000
74.3,1.000000
74.6,1.000000
74.9,1.000000
75.2,1.000000
75.5,1.000000
75.8,1.000000
76.1,1.000000
76.4,1.000000
76.7,1.000000
77.0,1.000000
77.3,1.000000
77.6,1.000000
77.9,1.000000
78.2,1.000000
78.5,1.000000
78.8,1.000000
79.1,1.000000
79.4,1.000000
79.7,1.000000
80.0,1.000000
80.3,1.000000
80.6,1.000000
80.9,1.000000
81.2,1.000000
81.5,1.000000
81.8,1.000000
82.1,1.000000
82.4,1.000000
82.7,1.000000
